document_id,split,document_index,condition,nll,delta_nll_to_native,impact_vs_joint_corrected,source_artifact
<urn:uuid:30b4608a-2f95-465f-91b5-0122fb0fe3bf>,LOCKED_POSTVERDICT,0,CONVOLUTION_CORRECTION_REMOVED,1.721467137336731,0.15239953994750977,-0.004523277282714844,e002_coupler/artifacts/attempt_001/diagnostics/postverdict_ablation_raw.jsonl
<urn:uuid:30b4608a-2f95-465f-91b5-0122fb0fe3bf>,LOCKED_POSTVERDICT,0,EARLY_THIRD_RECURRENT_REMOVED,1.7338805198669434,0.16481292247772217,0.007890105247497559,e002_coupler/artifacts/attempt_001/diagnostics/postverdict_ablation_raw.jsonl
<urn:uuid:30b4608a-2f95-465f-91b5-0122fb0fe3bf>,LOCKED_POSTVERDICT,0,KV_CORRECTION_REMOVED,1.743265151977539,0.17419755458831787,0.01727473735809326,e002_coupler/artifacts/attempt_001/diagnostics/postverdict_ablation_raw.jsonl
<urn:uuid:30b4608a-2f95-465f-91b5-0122fb0fe3bf>,LOCKED_POSTVERDICT,0,LATE_THIRD_RECURRENT_REMOVED,1.72566556930542,0.15659797191619873,-0.0003248453140258789,e002_coupler/artifacts/attempt_001/diagnostics/postverdict_ablation_raw.jsonl
<urn:uuid:30b4608a-2f95-465f-91b5-0122fb0fe3bf>,LOCKED_POSTVERDICT,0,MIDDLE_THIRD_RECURRENT_REMOVED,1.7250590324401855,0.15599143505096436,-0.0009313821792602539,e002_coupler/artifacts/attempt_001/diagnostics/postverdict_ablation_raw.jsonl
<urn:uuid:30b4608a-2f95-465f-91b5-0122fb0fe3bf>,LOCKED_POSTVERDICT,0,RECURRENT_CORRECTION_REMOVED,1.7317605018615723,0.16269290447235107,0.005770087242126465,e002_coupler/artifacts/attempt_001/diagnostics/postverdict_ablation_raw.jsonl
<urn:uuid:31d07da6-2f51-468e-a82d-50f74c260392>,LOCKED_POSTVERDICT,1,CONVOLUTION_CORRECTION_REMOVED,1.3675453662872314,0.15041828155517578,0.003339529037475586,e002_coupler/artifacts/attempt_001/diagnostics/postverdict_ablation_raw.jsonl
<urn:uuid:31d07da6-2f51-468e-a82d-50f74c260392>,LOCKED_POSTVERDICT,1,EARLY_THIRD_RECURRENT_REMOVED,1.3807604312896729,0.1636333465576172,0.016554594039916992,e002_coupler/artifacts/attempt_001/diagnostics/postverdict_ablation_raw.jsonl
<urn:uuid:31d07da6-2f51-468e-a82d-50f74c260392>,LOCKED_POSTVERDICT,1,KV_CORRECTION_REMOVED,1.390404224395752,0.1732771396636963,0.026198387145996094,e002_coupler/artifacts/attempt_001/diagnostics/postverdict_ablation_raw.jsonl
<urn:uuid:31d07da6-2f51-468e-a82d-50f74c260392>,LOCKED_POSTVERDICT,1,LATE_THIRD_RECURRENT_REMOVED,1.377211570739746,0.16008448600769043,0.013005733489990234,e002_coupler/artifacts/attempt_001/diagnostics/postverdict_ablation_raw.jsonl
<urn:uuid:31d07da6-2f51-468e-a82d-50f74c260392>,LOCKED_POSTVERDICT,1,MIDDLE_THIRD_RECURRENT_REMOVED,1.3936970233917236,0.17656993865966797,0.029491186141967773,e002_coupler/artifacts/attempt_001/diagnostics/postverdict_ablation_raw.jsonl
<urn:uuid:31d07da6-2f51-468e-a82d-50f74c260392>,LOCKED_POSTVERDICT,1,RECURRENT_CORRECTION_REMOVED,1.4193682670593262,0.2022411823272705,0.05516242980957031,e002_coupler/artifacts/attempt_001/diagnostics/postverdict_ablation_raw.jsonl
<urn:uuid:c931d790-d8ab-497d-b935-3dc2a01a0065>,LOCKED_POSTVERDICT,2,CONVOLUTION_CORRECTION_REMOVED,1.9300556182861328,-0.004262208938598633,-0.0008296966552734375,e002_coupler/artifacts/attempt_001/diagnostics/postverdict_ablation_raw.jsonl
