metric,point_estimate,ci95_low,ci95_high,units,sample_count,independent_unit,split,source_artifact,json_path,estimate_method,ci_source,ci_status
EMPTY_9B_mean_nll,3.2456535696983337,3.137843842059374,3.352425216976553,nats/token,64,document,LOCKED,e001_handoff/artifacts/attempt_001/verdict/RESULT.json,empty_9b_nll,mean_of_raw_document_nll,new document-mean bootstrap; not a sealed mean CI,recomputed_document_mean_bootstrap
FULL_SHUFFLED_mean_nll,3.3161810860037804,3.2078149651177226,3.4272999114356937,nats/token,64,document,LOCKED,e001_handoff/artifacts/attempt_001/verdict/RESULT.json,full_shuffled_nll,mean_of_raw_document_nll,new document-mean bootstrap; not a sealed mean CI,recomputed_document_mean_bootstrap
FULL_TRANSLATED_mean_nll,2.367947632446885,2.2610469890758393,2.4729852537158874,nats/token,64,document,LOCKED,e001_handoff/artifacts/attempt_001/verdict/RESULT.json,full_translated_nll,mean_of_raw_document_nll,new document-mean bootstrap; not a sealed mean CI,recomputed_document_mean_bootstrap
KV_GDN_DIRECT_mean_nll,2.291314037516713,2.1815337798092513,2.39770212774165,nats/token,64,document,LOCKED,e001_handoff/artifacts/attempt_001/verdict/RESULT.json,kv_gdn_direct_nll,mean_of_raw_document_nll,new document-mean bootstrap; not a sealed mean CI,recomputed_document_mean_bootstrap
KV_ONLY_mean_nll,3.11527069658041,3.0095282277092337,3.2216959128156306,nats/token,64,document,LOCKED,e001_handoff/artifacts/attempt_001/verdict/RESULT.json,kv_only_nll,mean_of_raw_document_nll,new document-mean bootstrap; not a sealed mean CI,recomputed_document_mean_bootstrap
NATIVE_9B_mean_nll,2.1609158758074045,2.0490936500485986,2.267956668836996,nats/token,64,document,LOCKED,e001_handoff/artifacts/attempt_001/verdict/RESULT.json,native_9b_nll,mean_of_raw_document_nll,new document-mean bootstrap; not a sealed mean CI,recomputed_document_mean_bootstrap
SOURCE_4B_mean_nll,2.3074115812778473,2.1911901323124767,2.419090658519417,nats/token,64,document,LOCKED,e001_handoff/artifacts/attempt_001/verdict/RESULT.json,source_4b_nll,mean_of_raw_document_nll,new document-mean bootstrap; not a sealed mean CI,recomputed_document_mean_bootstrap
full_vs_kv,0.7473230641335249,0.6920502561610192,0.8046689136885107,nats/token,64,document,LOCKED,e001_handoff/artifacts/attempt_001/verdict/RESULT.json,full_vs_kv_delta,paired_document_difference,full_vs_kv_bootstrap_ci,recomputed_from_included_observations
full_vs_wrong_donor,0.9482334535568953,0.8778805516660213,1.0220838344655931,nats/token,64,document,LOCKED,e001_handoff/artifacts/attempt_001/verdict/RESULT.json,full_vs_shuffled_delta,paired_document_difference,full_vs_shuffled_bootstrap_ci,recomputed_from_included_observations
kv_vs_empty,0.13038287311792374,0.11741965934634209,0.14376720953732727,nats/token,64,document,LOCKED,e001_handoff/artifacts/attempt_001/locked/derived_statistics.json,kv_vs_empty_mean_nll_improvement,paired_document_difference,kv_vs_empty_bootstrap_ci,recomputed_from_included_observations
mean_document_improvement_fraction,0.7965331754321586,,,ratio,64,document,LOCKED,e001_handoff/artifacts/attempt_001/verdict/RESULT.json,full_vs_kv_improvement_fraction,mean_of_valid_document_ratios,,not_reported
median_document_improvement_fraction,0.8022223333020289,,,ratio,64,document,LOCKED,e001_handoff/artifacts/attempt_001/verdict/RESULT.json,full_vs_kv_median_improvement_fraction,median_of_valid_document_ratios,,not_reported
ncr_full,0.8091411796552747,,,ratio,64,document,LOCKED,e001_handoff/artifacts/attempt_001/verdict/RESULT.json,(empty_9b_nll - full_translated_nll) / (empty_9b_nll - native_9b_nll),new_ratio_of_document_means,,not_reported
ncr_kv,0.12019760523877746,,,ratio,64,document,LOCKED,e001_handoff/artifacts/attempt_001/verdict/RESULT.json,(empty_9b_nll - kv_only_nll) / (empty_9b_nll - native_9b_nll),new_ratio_of_document_means,,not_reported
tqr,-0.4132274797724475,,,ratio,64,document,LOCKED,e001_handoff/artifacts/attempt_001/verdict/RESULT.json,tqr,ratio_of_document_means,,not_reported
